#{"t_start": 1729549721.708162, "env_id": "None"}
r,l,t
0.89714,6,67.551495
0.553895,5,67.629744
-0.090591,3,67.701291
-0.37075,3,67.774872
0.436483,5,67.850369
0.435119,4,67.921749
0.132494,6,67.999534
-0.239329,3,68.067563
-0.419084,3,68.137418
-0.393677,2,68.206032
-0.5,1,68.275482
-0.29865,2,68.349377
-0.5,1,68.41867
0.102271,3,68.493406
-0.10478,3,68.565407
-0.5,1,68.633931
0.619066,5,68.708603
0.892107,6,68.783037
-0.5,1,68.847106
0.191826,5,68.91908
1.423138,7,68.993978
-0.5,1,69.058074
0.069338,3,69.124789
-0.013818,3,69.193178
-0.5,1,69.257747
0.541153,5,69.329617
1.810288,9,69.4068
0.003006,3,69.472618
-0.098672,3,69.539421
-0.111058,3,69.607338
0.411855,5,69.678164
0.154357,3,69.74447
-0.158526,3,69.812978
0.757399,6,69.884281
0.280022,4,69.953002
-0.191256,2,70.019579
0.094784,3,70.087462
-0.204594,3,70.154896
0.226041,4,70.226902
0.298743,4,70.296855
0.258129,4,70.365637
1.104187,8,70.441709
0.157435,3,70.508986
0.072869,4,70.575878
0.602764,5,70.645622
0.126112,3,70.714884
-0.225161,2,70.780767
-0.5,1,70.848753
1.181105,7,70.929982
0.13286,3,70.997332
0.719684,5,71.066928
1.095338,8,71.139752
0.94636,7,71.212846
-0.5,1,71.27641
1.164643,8,71.350473
0.635882,6,71.424793
0.425408,4,71.495555
0.110581,3,71.563789
1.314824,7,71.636673
0.268345,4,71.704843
0.707966,5,71.771549
0.365526,4,71.840823
1.003793,7,71.919132
0.741573,8,71.995577
0.358176,4,72.063429
1.048793,8,72.137959
0.906326,7,72.211583
-0.146815,2,72.275848
0.271656,4,72.344279
-0.5,1,72.408634
-0.5,1,72.474352
0.393924,4,72.545147
1.255496,8,72.621596
-0.356177,3,72.687237
-0.161215,2,72.752336
0.303266,6,72.82073
0.382113,4,72.89108
0.644938,5,72.966267
-0.046423,3,73.033772
0.190264,3,73.099966
0.052171,3,73.167413
0.668979,6,73.23981
0.111496,3,73.305221
0.093945,6,73.376186
-0.138604,2,73.442057
0.682285,6,73.516516
0.107876,3,73.58476
-0.016522,4,73.649919
-0.17419,2,73.715556
0.458279,5,73.788222
0.336736,4,73.853627
0.038577,3,73.91855
-0.138058,2,73.984269
0.132558,3,74.04991
