#{"t_start": 1729553081.504801, "env_id": "None"}
r,l,t
0.8769,5,54.620176
-0.191297,2,54.684734
-0.5,1,54.746145
-0.161871,2,54.809488
0.067388,3,54.875828
0.509803,4,54.944288
-0.209354,2,55.008156
0.462705,4,55.075945
-0.179994,2,55.141561
-0.5,1,55.203371
-0.160519,2,55.266926
-0.5,1,55.328235
0.641188,5,55.398165
1.020301,6,55.470619
0.465223,4,55.541187
-0.5,1,55.605269
0.160658,3,55.671777
0.447036,4,55.739739
-0.176237,2,55.803425
1.291443,6,55.875897
-0.190969,2,55.940588
-0.5,1,56.003001
-0.188976,2,56.066255
1.658733,8,56.144298
0.506131,4,56.213621
-0.5,1,56.27456
0.15075,3,56.340494
1.623648,8,56.417507
-0.5,1,56.47924
-0.177823,2,56.542537
-0.173499,2,56.606742
-0.152387,2,56.672712
-0.5,1,56.733767
0.459589,4,56.801642
-0.005876,3,56.868044
0.423449,4,56.935626
2.16406,9,57.014972
-0.5,1,57.078315
-0.220602,2,57.144475
1.251634,6,57.217914
1.482592,7,57.293281
1.316854,6,57.366874
0.363223,4,57.434353
-0.5,1,57.496053
0.181167,3,57.561584
1.272187,6,57.6342
1.162036,6,57.707244
-0.5,1,57.768871
2.476735,10,57.849601
0.149334,3,57.91564
2.784904,12,58.000495
0.458708,4,58.070128
-0.5,1,58.133381
1.061286,6,58.205703
-0.185172,2,58.270036
-0.5,1,58.331374
-0.5,1,58.395009
-0.203131,2,58.458315
-0.5,1,58.520058
-0.164543,2,58.583706
-0.5,1,58.646065
1.058721,6,58.719337
-0.5,1,58.782256
-0.199977,2,58.848783
-0.5,1,58.910226
-0.5,1,58.971371
1.140664,6,59.043445
0.516539,4,59.113184
0.188679,3,59.179431
0.145343,3,59.247821
1.424198,7,59.323577
-0.163318,2,59.38818
-0.147662,2,59.453127
-0.5,1,59.515392
1.591045,7,59.590441
-0.5,1,59.65351
0.178162,3,59.720246
-0.5,1,59.781929
-0.219196,2,59.844977
0.810932,5,59.915059
1.284031,6,59.987424
-0.5,1,60.050455
-0.5,1,60.112752
-0.5,1,60.174469
4.648922,17,60.270975
-0.139095,2,60.341731
-0.5,1,60.403747
0.798182,5,60.474231
-0.181552,2,60.538243
0.171715,3,60.606048
0.137703,3,60.672789
-0.5,1,60.734698
0.157307,3,60.800326
-0.18252,2,60.864237
-0.5,1,60.925335
4.297166,14,61.014864
0.461284,4,61.084058
1.754847,8,61.161485
-0.5,1,61.224021
2.293201,9,61.302343
0.173032,3,61.369255
-0.215533,2,61.433468
3.014419,11,61.516363
-0.5,1,61.578034
-0.209522,2,61.641643
-0.5,1,61.705608
-0.149465,2,61.7699
-0.5,1,61.833532
-0.5,1,61.895237
-0.5,1,61.95691
-0.17424,2,62.02143
-0.5,1,62.083069
-0.148448,2,62.147765
0.482715,4,62.215986
-0.194862,2,62.280421
0.147736,3,62.346354
-0.152774,2,62.410489
-0.166181,2,62.47604
0.406878,4,62.543397
1.551199,7,62.618706
-0.5,1,62.680781
0.14453,3,62.746816
-0.164294,2,62.811188
0.755109,5,62.881978
-0.5,1,62.944068
0.482738,4,63.01188
0.146864,3,63.077466
0.366107,4,63.150496
-0.5,1,63.222996
-0.5,1,63.287405
0.84984,5,63.358419
0.149503,3,63.425668
1.847448,8,63.504782
-0.5,1,63.56768
0.813759,5,63.640605
-0.5,1,63.703375
1.403382,7,63.796063
-0.5,1,63.865798
-0.164894,2,63.937077
1.124472,6,64.012482
0.188824,3,64.080768
0.512355,4,64.151753
0.207962,3,64.227369
1.531196,7,64.306915
0.183122,3,64.373428
0.840467,5,64.444499
-0.186846,2,64.508848
-0.5,1,64.570976
0.179181,3,64.637195
-0.5,1,64.706715
-0.5,1,64.770985
1.920906,9,64.85053
-0.5,1,64.914409
0.577834,5,64.985685
1.102739,6,65.05863
-0.134833,2,65.123418
0.148805,3,65.202996
-0.5,1,65.277443
1.080961,6,65.361264
0.220822,4,65.438286
4.078667,14,65.529936
0.860373,5,65.601283
-0.173793,2,65.667322
0.110923,3,65.733859
-0.5,1,65.801326
0.110175,3,65.871746
0.192981,3,65.941111
0.453768,4,66.012335
-0.16568,2,66.081463
2.788223,10,66.164894
-0.5,1,66.232513
-0.188762,2,66.298992
3.931666,15,66.394486
-0.5,1,66.460405
0.106928,3,66.529871
-0.5,1,66.594961
-0.5,1,66.659269
-0.5,1,66.72262
-0.5,1,66.789148
-0.5,1,66.852321
-0.182871,2,66.915935
-0.181295,2,66.980722
-0.154302,2,67.044968
1.383402,7,67.129572
-0.010435,3,67.208447
-0.149578,2,67.305375
0.515469,4,67.382439
-0.141091,2,67.45058
-0.153942,2,67.516834
0.701815,5,67.58708
0.919283,6,67.660125
-0.203708,2,67.729115
-0.5,1,67.806906
0.476255,4,67.886458
-0.5,1,67.955193
-0.197178,2,68.026406
-0.5,1,68.097161
2.517831,11,68.185943
-0.178254,2,68.251368
-0.5,1,68.31527
0.162814,3,68.381564
-0.18209,2,68.448459
0.522377,4,68.522255
3.781446,14,68.617545
0.175561,3,68.686636
-0.152696,2,68.751246
2.712892,12,68.836073
0.496435,4,68.905376
1.51038,7,68.981063
0.127392,3,69.049781
0.160267,3,69.118537
0.840695,5,69.193897
0.449336,4,69.268503
-0.5,1,69.332783
-0.5,1,69.396567
0.977795,6,69.469394
-0.5,1,69.533146
1.138238,6,69.607056
0.843011,5,69.680587
2.214658,10,69.763189
0.068931,3,69.835184
-0.5,1,69.898539
-0.5,1,69.961772
0.145679,3,70.033783
0.11472,3,70.101899
0.182092,3,70.175155
0.414077,4,70.249272
-0.148968,2,70.318629
-0.223628,2,70.386213
0.904559,5,70.461174
-0.5,1,70.536461
-0.5,1,70.60711
-0.174787,2,70.677671
3.60404,13,70.769875
0.789246,5,70.840795
0.173596,3,70.906874
3.298837,13,70.993789
-0.5,1,71.059286
-0.5,1,71.126135
0.526048,4,71.200164
-0.178915,2,71.267201
-0.159676,2,71.332448
2.225646,9,71.411221
0.586033,4,71.480197
-0.196572,2,71.544517
0.07675,3,71.610119
0.110379,3,71.675672
0.728514,5,71.746212
-0.5,1,71.808987
0.444474,4,71.876983
-0.159268,2,71.941255
-0.5,1,72.00318
0.470999,4,72.071748
-0.5,1,72.143296
1.655844,8,72.22116
-0.201863,2,72.286863
0.508032,4,72.355531
7.261877,24,72.467696
-0.5,1,72.531651
1.567917,7,72.606637
0.47776,4,72.689677
0.420517,4,72.762097
-0.18475,2,72.828608
1.745582,9,72.912255
-0.212319,2,72.981735
0.136823,3,73.048251
0.495068,4,73.117225
-0.183436,2,73.184094
0.398726,4,73.252952
-0.198277,2,73.31639
1.19405,7,73.391742
-0.5,1,73.453571
-0.5,1,73.515641
0.825,5,73.585886
-0.5,1,73.649502
0.901516,5,73.722383
0.865697,5,73.792628
1.292258,6,73.864827
1.177132,6,73.937368
-0.17423,2,74.00104
0.126747,3,74.066534
-0.201872,2,74.132269
1.100734,6,74.210759
-0.5,1,74.27384
-0.143265,2,74.338726
0.116788,3,74.404508
-0.5,1,74.466217
-0.166272,2,74.53381
2.245668,9,74.619305
-0.5,1,74.684225
3.331939,12,74.769385
-0.5,1,74.834923
-0.5,1,74.901487
-0.5,1,74.966721
0.829975,5,75.036982
-0.5,1,75.100546
0.519014,4,75.171028
0.045175,3,75.241491
1.092561,6,75.314715
-0.5,1,75.379607
-0.5,1,75.444757
0.188739,3,75.51606
-0.191143,2,75.586052
0.172939,3,75.655998
-0.5,1,75.723285
-0.155416,2,75.788164
1.923576,8,75.865181
0.186833,3,75.931556
-0.138372,2,75.995085
0.506471,4,76.063868
-0.154866,2,76.129866
0.054186,3,76.200828
3.840485,14,76.295192
0.131211,3,76.362485
0.831996,5,76.432674
-0.5,1,76.493998
-0.195344,2,76.559016
1.369057,7,76.640223
0.435148,4,76.715531
0.165838,3,76.786605
0.166362,3,76.856529
-0.5,1,76.921689
0.806151,5,76.99736
-0.15674,2,77.063461
-0.5,1,77.12523
-0.5,1,77.186868
1.857432,8,77.265426
-0.5,1,77.328233
0.930207,5,77.398851
-0.207417,2,77.462394
0.473919,4,77.530113
0.222336,4,77.598135
-0.5,1,77.659574
0.103984,3,77.726765
0.910949,5,77.796678
0.590648,5,77.866133
0.211018,4,77.933644
-0.179756,2,77.998294
-0.194753,2,78.063116
0.181281,3,78.128663
-0.179787,2,78.192563
-0.5,1,78.25529
-0.5,1,78.316184
-0.173401,2,78.379975
0.582139,4,78.448191
0.836517,5,78.518924
-0.5,1,78.580971
-0.5,1,78.642597
-0.5,1,78.704964
1.185135,6,78.778916
0.157768,3,78.846185
0.562587,4,78.917706
0.469886,4,78.991856
-0.186209,2,79.062711
-0.15918,2,79.130987
2.105,9,79.219156
