#{"t_start": 1729361209.829303, "env_id": "None"}
r,l,t
-0.5,1,74.6526
0.932532,5,74.729074
2.635964,10,74.81782
1.936677,9,74.905329
0.065349,3,74.976598
1.613446,8,75.068534
3.583926,14,75.171059
1.088116,6,75.253215
3.307628,13,75.35143
-0.197178,2,75.419311
-0.5,1,75.48332
1.58837,8,75.567396
0.791723,5,75.643488
-0.5,1,75.70822
-0.5,1,75.772976
1.098185,6,75.85302
1.911818,8,75.93758
1.425258,7,76.01845
-0.162619,2,76.086127
-0.5,1,76.150994
1.205905,7,76.232548
0.827441,5,76.30733
-0.5,1,76.370698
-0.186702,2,76.437763
0.160267,3,76.508948
0.840695,5,76.583676
0.460048,6,76.667813
5.586147,19,76.784596
0.799487,5,76.862108
0.384816,4,76.93522
0.559164,4,77.008867
0.150715,3,77.079032
0.506851,4,77.152203
-0.208053,2,77.220294
-0.5,1,77.285417
3.047709,12,77.381779
-0.5,1,77.446185
-0.17648,2,77.514303
0.418248,4,77.58858
1.541968,7,77.668408
-0.195283,2,77.735233
-0.148968,2,77.803138
-0.5,1,77.867632
1.259067,6,77.946337
1.055303,6,78.027846
-0.5,1,78.093333
0.483026,4,78.166816
1.009902,6,78.246749
-0.5,1,78.311318
1.188955,6,78.389902
-0.5,1,78.455224
0.868472,5,78.532138
2.836894,11,78.625934
1.216084,6,78.707286
3.235964,13,78.81381
-0.5,1,78.876258
0.8514,5,78.952732
-0.5,1,79.016678
0.106267,3,79.086162
-0.212304,2,79.151801
-0.5,1,79.21634
0.421499,4,79.289037
0.810106,5,79.364598
0.131132,3,79.439667
0.855656,5,79.516654
-0.5,1,79.581816
0.144641,3,79.651307
-0.5,1,79.714911
2.955516,12,79.81093
0.090839,3,79.881666
-0.5,1,79.946602
-0.177271,2,80.014781
1.237673,6,80.094299
-0.5,1,80.158142
0.149424,3,80.227815
1.360957,7,80.307389
0.133743,3,80.377692
-0.177953,2,80.444469
-0.212319,2,80.510784
-0.182464,2,80.581352
-0.169508,2,80.653448
3.763972,14,80.756225
2.25406,10,80.84749
4.313098,16,80.95349
1.19405,7,81.036909
0.777004,5,81.113015
0.703568,5,81.187805
0.160643,3,81.258274
0.81344,5,81.334692
0.197036,3,81.406328
0.183663,3,81.477086
-0.5,1,82.299695
0.166001,3,82.412984
-0.17423,2,82.485258
2.030463,9,82.574045
-0.5,1,82.637654
0.137086,3,82.707285
8.02646,26,82.841075
1.281377,6,82.922348
-0.5,1,82.987069
7.517213,23,83.117396
0.825996,5,83.200281
0.168845,3,83.271308
-0.5,1,83.334107
0.880581,5,83.414099
0.160135,3,83.485491
1.35229,7,83.566062
-0.156516,2,83.633239
0.164493,3,83.702053
1.89112,8,83.785697
1.896614,8,83.869978
0.045175,3,83.939095
1.743469,8,84.02217
-0.172175,2,84.088455
-0.5,1,84.153478
0.883311,5,84.228722
-0.191143,2,84.296557
0.172939,3,84.365804
0.510905,6,84.44575
-0.5,1,84.510622
-0.156275,2,84.577278
1.928412,8,84.659723
-0.5,1,84.723057
-0.5,1,84.786223
1.229291,6,84.867084
2.381417,11,84.959865
1.124337,6,85.038832
-0.5,1,85.103579
3.971623,14,85.20597
2.620608,11,85.299698
5.096495,19,85.416315
0.114398,3,85.487816
-0.191585,2,85.556677
3.933846,14,85.660049
2.850348,11,85.755037
1.101408,6,85.866851
1.475518,7,85.953685
1.213871,6,86.032627
1.221397,6,86.114896
-0.5,1,86.186464
1.164743,6,86.266098
-0.5,1,86.33675
3.143137,11,86.430031
0.381943,4,86.502895
1.800393,8,86.587389
0.708569,5,86.663915
0.886011,5,86.744106
-0.199956,2,86.813152
5.225702,17,86.937221
0.787979,5,87.020365
-0.5,1,87.091421
